DATAFLOW,FREQ: Frequency,INDICATOR: Indicator,IMPORTER: Importer,EXPORTER: Exporter,COMMODITY: Commodity,TIME_PERIOD: Time,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TO: Tonga,AU_NZ: Australia and New Zealand,24: Tobacco and manufactured tobacco substitutes,2015,18,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TO: Tonga,AU_NZ: Australia and New Zealand,24: Tobacco and manufactured tobacco substitutes,2016,14,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TO: Tonga,AU_NZ: Australia and New Zealand,24: Tobacco and manufactured tobacco substitutes,2018,10,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",1995,150,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",1996,187,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",1997,204,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",1998,225,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",1999,274,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",2000,284,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",2001,269,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",2002,195,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",2003,249,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",2004,143,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",2005,124,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",2006,178,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",2007,188,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",2008,178,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",2009,230,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,AU_NZ: Australia and New Zealand,"19: Cereal, flour, starch, milk preparations and products",2010,233,TON: tonnes,,,,
